date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,25,12,0,0
2021-04-01,Japan,0,93,29,0,0
2021-04-01,Sweden,0,8,1,0,0
2021-04-02,Afghanistan,0,23,14,0,0
2021-04-02,Japan,0,70,52,0,0
2021-04-02,Sweden,0,5,4,0,0
2021-04-03,Afghanistan,0,18,19,0,0
2021-04-03,Japan,0,44,78,0,0
2021-04-03,Sweden,0,5,4,0,0
2021-04-04,Afghanistan,0,15,22,0,0
2021-04-04,Japan,0,29,93,0,0
2021-04-04,Sweden,0,4,5,0,0
2021-04-05,Afghanistan,0,12,13,3,9
2021-04-05,Japan,0,22,71,17,12
2021-04-05,Sweden,0,4,4,1,0
2021-04-06,Afghanistan,0,12,11,4,10
2021-04-06,Japan,0,17,53,28,24
2021-04-06,Sweden,0,2,3,3,1
2021-04-07,Afghanistan,0,11,7,8,11
2021-04-07,Japan,0,13,31,38,40
2021-04-07,Sweden,0,2,3,3,1
2021-04-08,Afghanistan,0,8,7,9,13
2021-04-08,Japan,0,9,20,46,47
2021-04-08,Sweden,0,2,2,4,1
2021-04-09,Afghanistan,0,8,4,10,15
2021-04-09,Japan,0,7,15,51,49
2021-04-09,Sweden,0,2,2,4,1
2021-04-10,Afghanistan,0,7,5,10,15
2021-04-10,Japan,0,6,11,55,50
2021-04-10,Sweden,0,2,0,4,3
2021-04-11,Afghanistan,0,6,5,11,15
2021-04-11,Japan,0,5,8,58,51
2021-04-11,Sweden,0,1,1,4,3
2021-04-12,Afghanistan,0,5,3,13,16
2021-04-12,Japan,0,5,4,59,54
2021-04-12,Sweden,0,1,1,4,3
2021-04-13,Afghanistan,0,4,4,13,16
2021-04-13,Japan,0,5,2,61,54
2021-04-13,Sweden,0,1,1,4,3
2021-04-14,Afghanistan,0,3,4,13,17
2021-04-14,Japan,0,5,1,62,54
2021-04-14,Sweden,0,1,1,4,3
2021-04-15,Afghanistan,0,3,3,13,18
2021-04-15,Japan,0,4,1,63,54
2021-04-15,Sweden,0,1,0,4,4
2021-04-16,Afghanistan,0,2,3,13,19
2021-04-16,Japan,0,3,2,63,54
2021-04-16,Sweden,0,1,0,4,4
2021-04-17,Afghanistan,0,2,2,13,20
